engine,concurrency,mean_tpot_ms,median_tpot_ms,mean_ttft_ms,mean_e2e_ms,decode_latency_ms
sglang,1,11.497923490812136,11.509888775733387,97.45235399653514,11583.877921317859,11486.425567321323
sglang,2,11.47864414748795,11.489550272798496,166.00275432574563,11633.168257666208,11467.165503340462
sglang,4,19.886198174254044,22.003215818834427,695.3136716717078,20561.625647751498,19866.31197607979
sglang,8,26.567066862532183,28.21557195045523,1934.343407243432,28474.84320291308,26540.49979566965
sglang,16,32.02732621934114,32.145523511005464,3315.950905316034,35311.249798437835,31995.298893121802
sglang,32,39.271464913318894,38.57932844492551,5947.405266811377,45179.59871521695,39232.19344840557
sglang,64,61.288720156288356,60.431691168186795,10470.832233258989,71698.26366939105,61227.43143613206
sglang,128,100.35604314354828,100.44877072824193,16999.677120038996,117255.36422044372,100255.68710040473
vllm,1,11.402715266932207,11.406697528516021,143.1895466715408,11545.904813603747,11402.715266932206
vllm,2,11.731198342676043,11.72280895196389,106.15171268000267,11837.350055356046,11731.198342676043
vllm,4,15.153414598345433,12.517842821319128,269.9688520854882,15423.383450430922,15153.414598345433
vllm,8,22.552301220927063,25.350653343348974,958.0442510826591,23510.34547200972,22552.301220927064
vllm,16,29.383388491911,32.18361210761227,2043.54900403996,31426.93749595096,29383.388491911
vllm,32,34.7727020674529,37.10189797646096,2017.3199403846716,36790.02200783757,34772.7020674529
vllm,64,56.28891556599142,59.6825358458679,3200.100923495787,59489.01648948721,56288.91556599142
vllm,128,93.74874142720462,97.9926110510339,3698.339708749245,97447.08113595386,93748.74142720462
